graph,type,n,m,omega,mycielski_bound,best_W_A,delta_plus_1,sqrt_2m_plus_1
dsjc250_5,DIMACS,250,15668,12,2.01,42,148,178.02
dsjr500_1c,DIMACS,500,121275,81,33.56,102,498,493.49
flat300_28_0,DIMACS,300,21695,11,1.93,47,163,209.3
flat1000_50_0,DIMACS,1000,245000,13,1.96,125,521,701.0
latin_square,DIMACS,900,307350,45,4.15,156,684,785.03
le450_25c,DIMACS,450,17343,25,1.21,32,180,187.24
le450_25d,DIMACS,450,17425,25,1.21,31,158,187.68
r250_5,DIMACS,250,14849,65,1.91,73,192,173.33
T_50_100,generated,50,100,3,1.09,5,9,15.15
T_50_500,generated,50,495,6,1.66,12,28,32.49
T_50_800,generated,50,795,10,2.75,17,39,40.88
T_200_1600,generated,200,1621,4,1.09,10,28,57.94
T_200_8000,generated,200,7935,8,1.66,31,99,126.97
T_200_12800,generated,200,12776,14,2.77,49,147,160.84
T_500_10000,generated,500,10039,4,1.09,16,60,142.69
T_500_50000,generated,500,49658,9,1.66,59,233,316.12
T_500_80000,generated,500,78912,17,2.72,97,347,398.25
